GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
alerts,com.safetynet.alerts.repository,DataParser,107,86,4,4,25,19,7,3,3,3
alerts,com.safetynet.alerts.dto,ChildrenByAddressDTO,0,12,0,0,0,5,0,1,0,1
alerts,com.safetynet.alerts.dto,CoveredPersonsDTO,0,15,0,0,0,6,0,1,0,1
alerts,com.safetynet.alerts.dto,HouseholdMembersDTO,0,9,0,0,0,4,0,1,0,1
alerts,com.safetynet.alerts.dto,ResidentsPerAddressDTO,0,21,0,0,0,8,0,1,0,1
alerts,com.safetynet.alerts.dto,PersonInfoDTO,0,24,0,0,0,9,0,1,0,1
alerts,com.safetynet.alerts.controller,PersonController,42,187,0,2,8,45,0,12,0,11
alerts,com.safetynet.alerts.controller,FirstResponderController,56,115,0,0,21,38,0,9,0,9
alerts,com.safetynet.alerts.controller,MedicalRecordController,42,148,0,2,8,37,0,9,0,8
alerts,com.safetynet.alerts.controller,FirestationController,75,173,12,14,15,41,9,12,0,8
alerts,com.safetynet.alerts.service,PersonService,4,248,9,33,0,50,9,21,0,9
alerts,com.safetynet.alerts.service,FirstResponderService,60,1099,79,147,16,229,79,45,0,11
alerts,com.safetynet.alerts.service,FirestationService,2,192,1,21,0,37,1,21,0,11
alerts,com.safetynet.alerts.service,MedicalRecordService,4,201,7,27,0,44,7,17,0,7
alerts,com.safetynet.alerts.view,PersonInfo,0,6,0,0,0,3,0,1,0,1
alerts,com.safetynet.alerts.view,ResidentEmails,0,6,0,0,0,3,0,1,0,1
alerts,com.safetynet.alerts.view,HouseholdsByStation,0,9,0,0,0,4,0,1,0,1
alerts,com.safetynet.alerts.view,PhonesPerStation,0,6,0,0,0,3,0,1,0,1
alerts,com.safetynet.alerts.view,PeoplePerStation,0,12,0,0,0,5,0,1,0,1
alerts,com.safetynet.alerts.view,ChildrenByAddress,0,6,0,0,0,3,0,1,0,1
alerts,com.safetynet.alerts.view,ResidentsPerAddress,0,9,0,0,0,4,0,1,0,1
alerts,com.safetynet.alerts,AlertsApplication,5,3,0,0,2,1,1,1,1,1
